WHO_region,Country_name_en,ISO3_code
EMR,Afghanistan,AFG
AFR,Angola,AGO
EUR,Albania,ALB
EUR,Andorra,AND
EMR,United Arab Emirates,ARE
AMR,Argentina,ARG
EUR,Armenia,ARM
AMR,Antigua and Barbuda,ATG
WPR,Australia,AUS
EUR,Austria,AUT
EUR,Azerbaijan,AZE
AFR,Burundi,BDI
EUR,Belgium,BEL
AFR,Benin,BEN
AFR,Burkina Faso,BFA
SEAR,Bangladesh,BGD
EUR,Bulgaria,BGR
EMR,Bahrain,BHR
AMR,Bahamas,BHS
EUR,Bosnia and Herzegovina,BIH
EUR,Belarus,BLR
AMR,Belize,BLZ
AMR,Bolivia,BOL
AMR,Brazil,BRA
AMR,Barbados,BRB
WPR,Brunei Darussalam,BRN
SEAR,Bhutan,BTN
AFR,Botswana,BWA
AFR,Central African Republic,CAF
AMR,Canada,CAN
EUR,Switzerland,CHE
AMR,Chile,CHL
WPR,China,CHN
AFR,Cote d'Ivoire,CIV
AFR,Cameroon,CMR
AFR,"Congo, Democratic Republic of",COD
AFR,Congo,COG
WPR,Cook Islands,COK
AMR,Colombia,COL
AFR,Comoros,COM
AFR,Cabo Verde,CPV
AMR,Costa Rica,CRI
AMR,Cuba,CUB
EUR,Cyprus,CYP
EUR,Czech Republic,CZE
EUR,Germany,DEU
EMR,Djibouti,DJI
AMR,Dominica,DMA
EUR,Denmark,DNK
AMR,Dominican Republic,DOM
AFR,Algeria,DZA
AMR,Ecuador,ECU
EMR,Egypt,EGY
AFR,Eritrea,ERI
EUR,Spain,ESP
EUR,Estonia,EST
AFR,Ethiopia,ETH
EUR,Finland,FIN
WPR,Fiji,FJI
EUR,France,FRA
WPR,Micronesia (Federated States of),FSM
AFR,Gabon,GAB
EUR,United Kingdom,GBR
EUR,Georgia,GEO
AFR,Ghana,GHA
AFR,Guinea,GIN
AFR,Gambia,GMB
AFR,Guinea-Bissau,GNB
AFR,Equatorial Guinea,GNQ
EUR,Greece,GRC
AMR,Grenada,GRD
AMR,Guatemala,GTM
